symbol,HIGH,LOW,OPEN,LAST TRADED PRICE,%change,TOTAL TRADED VOLUME
HINDUNILVR,2168.45,2142.3,2150.0,2165.45,1.01,1098950.0
HCLTECH,860.9,846.0,853.0,854.5,0.24,4508226.0
INFY,1129.6,1112.85,1122.25,1116.1,-0.57,3921328.0
BHARTIARTL,439.45,428.0,434.35,432.7,-0.39,8607089.0
SBILIFE,776.0,765.1,775.0,768.7,-0.26,894280.0
BAJAJ-AUTO,3113.75,2885.0,3097.95,2915.9,-5.40,1560164.0
SHREECEM,20809.75,20113.1,20665.7,20220.0,-1.47,39633.0
AXISBANK,509.85,492.05,508.25,493.5,-2.70,12900424.0
GAIL,87.8,85.0,87.65,85.65,-1.89,6824934.0
SUNPHARMA,487.4,474.0,487.4,474.5,-2.06,4107169.0
WIPRO,344.9,339.65,343.7,339.85,-0.74,5753317.0
RELIANCE,2101.95,2041.0,2101.95,2047.05,-3.12,9957979.0
DIVISLAB,3081.4,3021.5,3080.9,3033.95,-1.14,478088.0
BRITANNIA,3505.55,3466.0,3482.0,3489.0,0.55,641785.0
BAJAJFINSV,5872.65,5647.5,5872.65,5650.05,-3.11,580022.0
COALINDIA,117.9,114.3,117.9,114.85,-2.42,7738723.0
ASIANPAINT,2116.35,2070.65,2116.35,2079.9,-1.90,869311.0
HDFCBANK,1242.0,1212.4,1229.8,1215.95,-1.61,5969391.0
NESTLEIND,16375.0,16052.15,16200.0,16221.95,2.25,260504.0
CIPLA,763.75,747.0,761.2,748.45,-1.20,3452134.0
GRASIM,789.85,768.0,785.0,776.05,-1.17,1012771.0
BAJFINANCE,3330.0,3236.65,3330.0,3257.6,-1.79,2400910.0
ICICIBANK,419.15,401.75,418.05,404.05,-3.09,15168139.0
BPCL,353.7,343.5,351.55,345.4,-1.75,3825342.0
DRREDDY,5062.0,4976.2,5008.0,4998.85,-0.39,1001827.0
LT,959.25,943.0,949.85,952.0,1.14,4991852.0
INDUSINDBK,633.3,613.55,617.0,616.0,1.29,13990359.0
ADANIPORTS,373.9,363.85,366.0,367.75,0.93,5576483.0
HDFC,2083.95,2052.75,2058.0,2063.95,0.21,3463288.0
HINDALCO,182.9,169.6,182.3,171.7,-5.79,11205626.0
SBIN,204.0,195.6,202.7,197.1,-2.81,34944347.0
HDFCLIFE,579.5,563.5,566.75,577.95,2.38,5415058.0
POWERGRID,172.95,169.65,170.05,172.05,1.12,14700371.0
EICHERMOT,2214.65,2135.0,2188.0,2142.05,-1.83,932895.0
UPL,454.95,434.05,454.95,434.65,-3.61,4361826.0
TITAN,1250.0,1224.6,1250.0,1227.6,-1.14,837052.0
IOC,79.2,78.0,78.25,78.25,0.0,9656725.0
KOTAKBANK,1399.0,1347.35,1399.0,1376.8,-0.45,3307401.0
TECHM,854.7,823.35,830.0,831.65,-1.96,7198796.0
M&M,625.85,604.65,624.95,608.55,-2.66,2698888.0
ULTRACEMCO,4544.4,4459.35,4510.0,4487.45,-0.38,572444.0
ITC,171.6,168.25,171.5,169.65,-0.64,11021707.0
NTPC,88.0,84.3,87.1,84.75,-1.74,23046691.0
ONGC,69.5,67.65,69.5,68.25,-1.09,10350771.0
TCS,2709.95,2672.05,2689.95,2699.7,0.48,1812597.0
JSWSTEEL,315.8,304.35,314.0,306.5,-4.59,12101719.0
MARUTI,7161.3,6935.05,7100.0,6995.05,-1.52,1005609.0
TATASTEEL,423.35,404.15,423.35,407.05,-3.87,11494552.0
TATAMOTORS,140.8,131.25,138.4,132.9,-2.99,66475560.0
