symbol,HIGH,LOW,OPEN,LAST TRADED PRICE,%change,TOTAL TRADED VOLUME
HEROMOTOCO,3120.0,2896.35,3120.0,2899.4,-6.80,2563557.0
ACC,1614.8,1579.05,1604.9,1581.7,-1.42,947835.0
ABBOTINDIA,15750.0,15490.0,15650.0,15642.85,0.12,3537.0
ADANIGREEN,722.8,701.1,720.0,704.35,-2.21,204180.0
ADANITRANS,293.35,285.35,293.35,287.05,-2.15,75434.0
ALKEM,2628.95,2563.65,2619.0,2585.8,-0.59,63546.0
AMBUJACEM,249.0,242.45,248.7,244.75,-1.07,6237082.0
AUROPHARMA,814.5,779.05,808.0,781.5,-0.17,5394370.0
DMART,2139.4,2100.35,2120.0,2131.0,0.68,345060.0
BAJAJHLDNG,2305.45,2252.15,2270.0,2295.0,1.47,27270.0
BANDHANBNK,309.65,300.5,309.0,302.65,-1.66,4152814.0
BANKBARODA,43.75,42.55,43.05,42.7,-1.04,28004488.0
BERGEPAINT,610.0,597.3,609.0,599.35,-1.66,425627.0
INFRATEL,193.55,185.75,193.55,187.2,-2.58,3101017.0
BIOCON,419.75,389.75,419.0,393.15,-5.76,6725364.0
BOSCHLTD,12279.85,11732.55,12244.0,11879.0,-2.73,33727.0
CADILAHC,430.0,416.05,425.5,418.0,-1.48,1957794.0
COLPAL,1476.0,1439.4,1462.0,1450.2,-0.99,519001.0
CONCOR,387.0,379.8,385.55,383.25,-0.60,660707.0
DLF,172.9,164.55,172.9,166.05,-3.06,6707521.0
DABUR,521.8,511.55,519.95,512.65,-1.25,1453283.0
GICRE,122.8,120.1,122.8,120.6,-0.74,69323.0
GODREJCP,691.8,668.05,686.0,671.75,-1.39,1275354.0
HDFCAMC,2309.0,2275.1,2308.0,2296.7,-0.53,96786.0
HAVELLS,734.0,721.25,730.0,728.95,0.31,1086629.0
HINDPETRO,183.75,175.7,182.0,176.0,-3.59,4102265.0
HINDZINC,242.5,235.0,242.0,235.45,-1.75,1639075.0
ICICIGI,1294.85,1238.05,1272.0,1244.0,-1.10,326318.0
ICICIPRULI,414.25,401.4,410.8,402.7,-1.47,927130.0
IGL,398.9,390.5,391.0,397.2,1.24,2185370.0
NAUKRI,3645.15,3510.0,3645.15,3536.05,-2.99,446551.0
INDIGO,1387.0,1344.4,1370.0,1349.4,-1.68,411075.0
LTI,3102.0,3025.0,3085.0,3035.65,-0.83,126415.0
LUPIN,997.65,966.3,992.95,968.9,-2.27,1783915.0
MARICO,361.85,347.0,359.2,348.5,-2.82,2724200.0
MOTHERSUMI,111.35,105.4,110.55,106.9,-3.21,11540105.0
MUTHOOTFIN,1194.2,1153.15,1185.0,1177.2,-0.62,950932.0
NMDC,84.95,82.45,84.85,83.15,-2.00,3073765.0
OFSS,3369.0,3280.0,3367.0,3286.7,-0.73,25203.0
PETRONET,238.5,229.05,233.0,230.2,-1.33,3979222.0
PIDILITIND,1508.7,1472.0,1506.0,1480.5,-1.32,279769.0
PEL,1325.0,1284.0,1325.0,1289.7,-2.82,573413.0
PFC,90.65,87.9,89.5,88.2,-2.00,2515225.0
PGHH,10398.0,10209.9,10301.0,10358.15,0.47,2245.0
PNB,28.25,27.45,27.55,28.0,2.19,23410142.0
SBICARD,818.0,793.1,807.15,799.0,-1.02,1692536.0
SIEMENS,1284.55,1260.5,1282.95,1279.95,0.07,294837.0
TATACONSUM,484.3,470.15,474.9,476.35,0.75,4770955.0
TORNTPHARM,2774.4,2643.6,2752.9,2651.55,-3.01,647833.0
UBL,965.85,940.0,964.95,950.2,-1.03,1100108.0
MCDOWELL-N,529.45,514.8,528.0,517.1,-1.81,584102.0
