symbol,HIGH,LOW,OPEN,LAST TRADED PRICE,%change,TOTAL TRADED VOLUME
HINDUNILVR,2168.45,2142.3,2150.0,2152.2,0.39,1228158.0
HCLTECH,860.9,846.0,853.0,849.3,-0.37,4970187.0
INFY,1129.6,1110.0,1122.25,1110.2,-1.10,4429158.0
BHARTIARTL,439.45,428.0,434.35,431.2,-0.74,9141416.0
SBILIFE,776.0,765.1,775.0,766.45,-0.55,958526.0
BAJAJ-AUTO,3113.75,2885.0,3097.95,2891.9,-6.18,1679365.0
SHREECEM,20809.75,20113.1,20665.7,20181.0,-1.66,42449.0
AXISBANK,509.85,490.9,508.25,492.0,-3.00,13624922.0
GAIL,87.8,85.0,87.65,85.15,-2.46,7335323.0
SUNPHARMA,487.4,472.7,487.4,472.95,-2.38,4464513.0
WIPRO,344.9,336.7,343.7,337.9,-1.31,6418710.0
RELIANCE,2101.95,2018.5,2101.95,2031.3,-3.87,11978241.0
DIVISLAB,3081.4,3021.5,3080.9,3028.0,-1.33,515493.0
BRITANNIA,3505.55,3466.0,3482.0,3483.7,0.4,677234.0
BAJAJFINSV,5872.65,5645.0,5872.65,5660.05,-2.94,609094.0
COALINDIA,117.9,114.2,117.9,114.3,-2.89,8304737.0
ASIANPAINT,2116.35,2070.05,2116.35,2073.15,-2.22,944799.0
HDFCBANK,1242.0,1208.5,1229.8,1212.7,-1.87,6625458.0
NESTLEIND,16375.0,16052.15,16200.0,16201.0,2.11,275089.0
CIPLA,763.75,745.2,761.2,745.5,-1.59,3636278.0
GRASIM,789.85,768.0,785.0,773.3,-1.52,1066471.0
BAJFINANCE,3330.0,3236.65,3330.0,3254.05,-1.89,2536467.0
ICICIBANK,419.15,401.45,418.05,402.4,-3.49,16397754.0
BPCL,353.7,343.15,351.55,343.25,-2.36,4054172.0
DRREDDY,5062.0,4976.2,5008.0,4983.0,-0.70,1039944.0
LT,959.25,943.0,949.85,951.0,1.04,5360768.0
INDUSINDBK,633.3,613.55,617.0,615.65,1.23,14637111.0
ADANIPORTS,373.9,363.15,366.0,364.1,-0.07,6180518.0
HDFC,2083.95,2052.75,2058.0,2065.05,0.26,3696406.0
HINDALCO,182.9,169.6,182.3,171.6,-5.84,11953009.0
SBIN,204.0,195.6,202.7,196.3,-3.21,36578777.0
HDFCLIFE,579.5,563.5,566.75,574.45,1.76,5709006.0
POWERGRID,172.95,169.65,170.05,171.45,0.76,15566820.0
EICHERMOT,2214.65,2118.15,2188.0,2119.55,-2.86,1036361.0
UPL,454.95,432.45,454.95,434.0,-3.76,4634469.0
TITAN,1250.0,1212.1,1250.0,1213.0,-2.31,1009738.0
IOC,79.2,78.0,78.25,78.0,-0.32,10498392.0
KOTAKBANK,1399.0,1347.35,1399.0,1366.5,-1.20,3704079.0
TECHM,854.7,822.15,830.0,822.7,-3.01,7729604.0
M&M,625.85,603.4,624.95,603.4,-3.48,2974233.0
ULTRACEMCO,4544.4,4459.35,4510.0,4468.05,-0.81,597079.0
ITC,171.6,168.25,171.5,168.65,-1.23,11919084.0
NTPC,88.0,84.3,87.1,84.9,-1.57,24279759.0
ONGC,69.5,67.65,69.5,67.95,-1.52,11019439.0
TCS,2709.95,2672.05,2689.95,2688.05,0.05,2025787.0
JSWSTEEL,315.8,304.35,314.0,305.35,-4.95,12480368.0
MARUTI,7161.3,6935.05,7100.0,6990.4,-1.59,1051776.0
TATASTEEL,423.35,404.15,423.35,406.35,-4.04,12248607.0
TATAMOTORS,140.8,131.25,138.4,131.8,-3.80,69861287.0
HEROMOTOCO,3120.0,2880.1,3120.0,2882.0,-7.36,2784236.0
ACC,1614.8,1576.05,1604.9,1577.4,-1.69,988018.0
ABBOTINDIA,15750.0,15490.0,15650.0,15642.85,0.12,3907.0
ADANIGREEN,722.8,701.1,720.0,703.3,-2.36,215756.0
ADANITRANS,293.35,285.35,293.35,287.55,-1.98,85257.0
ALKEM,2628.95,2563.65,2619.0,2582.95,-0.70,64363.0
AMBUJACEM,249.0,242.45,248.7,244.2,-1.29,6703485.0
AUROPHARMA,814.5,775.7,808.0,776.4,-0.82,5628933.0
DMART,2145.85,2100.35,2120.0,2140.9,1.15,427022.0
BAJAJHLDNG,2305.45,2252.15,2270.0,2291.1,1.3,28179.0
BANDHANBNK,309.65,300.5,309.0,300.7,-2.29,4412766.0
BANKBARODA,43.75,42.55,43.05,42.75,-0.93,28825477.0
BERGEPAINT,610.0,596.2,609.0,596.45,-2.13,447406.0
INFRATEL,193.55,185.6,193.55,185.8,-3.30,3323591.0
BIOCON,419.75,389.75,419.0,394.55,-5.43,7164283.0
BOSCHLTD,12279.85,11732.55,12244.0,11845.0,-3.01,36766.0
CADILAHC,430.0,415.35,425.5,416.35,-1.87,2025246.0
COLPAL,1476.0,1436.2,1462.0,1436.4,-1.93,581068.0
CONCOR,387.0,379.8,385.55,384.0,-0.40,734537.0
DLF,172.9,164.55,172.9,165.8,-3.21,7181156.0
DABUR,521.8,509.7,519.95,510.9,-1.59,1564191.0
GICRE,122.8,119.75,122.8,120.0,-1.23,81688.0
GODREJCP,691.8,668.0,686.0,668.6,-1.86,1312829.0
HDFCAMC,2309.0,2275.1,2308.0,2295.0,-0.60,116147.0
HAVELLS,734.0,721.25,730.0,723.75,-0.41,1149675.0
HINDPETRO,183.75,173.75,182.0,173.8,-4.79,4672673.0
HINDZINC,242.5,234.5,242.0,234.8,-2.02,1724272.0
ICICIGI,1294.85,1236.0,1272.0,1239.35,-1.47,342964.0
ICICIPRULI,414.25,401.25,410.8,401.7,-1.71,978673.0
IGL,398.9,390.5,391.0,395.05,0.69,2321959.0
NAUKRI,3645.15,3500.0,3645.15,3503.05,-3.90,485514.0
INDIGO,1387.0,1344.4,1370.0,1351.05,-1.56,425331.0
LTI,3102.0,3003.0,3085.0,3012.35,-1.59,139226.0
LUPIN,997.65,960.6,992.95,962.15,-2.96,1967911.0
MARICO,361.85,346.1,359.2,346.5,-3.37,2924200.0
MOTHERSUMI,111.35,105.4,110.55,106.45,-3.62,11921509.0
MUTHOOTFIN,1194.2,1153.15,1185.0,1182.85,-0.14,1095869.0
NMDC,84.95,82.45,84.85,83.2,-1.94,3173028.0
OFSS,3369.0,3267.2,3367.0,3282.75,-0.85,27549.0
PETRONET,238.5,229.05,233.0,230.35,-1.26,4040299.0
PIDILITIND,1508.7,1465.0,1506.0,1467.0,-2.22,315176.0
PEL,1325.0,1284.0,1325.0,1288.0,-2.95,593554.0
PFC,90.65,87.9,89.5,88.0,-2.22,2569328.0
PGHH,10398.0,10209.9,10301.0,10340.0,0.29,2278.0
PNB,28.25,27.45,27.55,28.1,2.55,24868207.0
SBICARD,818.0,793.1,807.15,796.95,-1.28,1759981.0
SIEMENS,1284.55,1260.5,1282.95,1279.6,0.05,327049.0
TATACONSUM,484.3,470.15,474.9,473.9,0.23,4891903.0
TORNTPHARM,2774.4,2643.6,2752.9,2652.7,-2.96,676310.0
UBL,965.85,940.0,964.95,950.75,-0.97,1141984.0
MCDOWELL-N,529.45,512.65,528.0,514.25,-2.35,647415.0
