symbol,HIGH,LOW,OPEN,LAST TRADED PRICE,%change,TOTAL TRADED VOLUME
HINDUNILVR,2168.45,2142.3,2150.0,2161.75,0.83,1465705.0
HCLTECH,860.9,842.05,853.0,846.4,-0.71,5925997.0
INFY,1129.6,1103.15,1122.25,1110.9,-1.03,5558730.0
BHARTIARTL,439.45,428.0,434.35,432.85,-0.36,10327949.0
SBILIFE,784.9,765.1,775.0,779.9,1.19,2237583.0
BAJAJ-AUTO,3113.75,2885.0,3097.95,2897.2,-6.00,1941569.0
SHREECEM,20809.75,20113.1,20665.7,20323.2,-0.96,53155.0
AXISBANK,509.85,490.9,508.25,492.95,-2.81,15546098.0
GAIL,87.8,85.0,87.65,85.45,-2.12,8145785.0
SUNPHARMA,487.4,471.1,487.4,474.5,-2.06,5621156.0
WIPRO,344.9,336.7,343.7,339.95,-0.72,7729857.0
RELIANCE,2101.95,2018.5,2101.95,2032.2,-3.83,14537580.0
DIVISLAB,3081.4,3020.1,3080.9,3045.0,-0.78,666087.0
BRITANNIA,3505.55,3466.0,3482.0,3488.7,0.55,788545.0
BAJAJFINSV,5872.65,5645.0,5872.65,5702.4,-2.21,694697.0
COALINDIA,117.9,114.2,117.9,114.7,-2.55,9517248.0
ASIANPAINT,2116.35,2070.05,2116.35,2083.7,-1.72,1090451.0
HDFCBANK,1242.0,1208.5,1229.8,1214.6,-1.72,7908107.0
NESTLEIND,16375.0,16052.15,16200.0,16276.4,2.59,319379.0
CIPLA,763.75,743.25,761.2,748.5,-1.19,4102941.0
GRASIM,789.85,768.0,785.0,778.05,-0.91,1185689.0
BAJFINANCE,3330.0,3236.65,3330.0,3283.65,-1.00,2945892.0
ICICIBANK,419.15,401.45,418.05,403.45,-3.24,19067905.0
BPCL,353.7,342.55,351.55,345.55,-1.71,4599130.0
DRREDDY,5062.0,4965.5,5008.0,4990.15,-0.56,1250203.0
LT,959.25,943.0,949.85,952.5,1.2,6229166.0
INDUSINDBK,633.3,613.55,617.0,618.1,1.64,16116925.0
ADANIPORTS,373.9,360.45,366.0,364.25,-0.03,6949546.0
HDFC,2083.95,2052.75,2058.0,2070.9,0.54,4377273.0
HINDALCO,182.9,169.6,182.3,172.3,-5.46,13566019.0
SBIN,204.0,195.6,202.7,196.7,-3.01,40979133.0
HDFCLIFE,579.5,563.5,566.75,574.5,1.77,6923738.0
POWERGRID,172.95,169.65,170.05,172.0,1.09,19292606.0
EICHERMOT,2214.65,2091.15,2188.0,2100.95,-3.71,1358012.0
UPL,454.95,431.5,454.95,433.9,-3.78,5328346.0
TITAN,1250.0,1210.5,1250.0,1216.3,-2.05,1190537.0
IOC,79.2,78.0,78.25,78.2,-0.06,11314356.0
KOTAKBANK,1406.25,1347.35,1399.0,1400.55,1.27,5845137.0
TECHM,854.7,814.0,830.0,819.05,-3.44,8958470.0
M&M,625.85,598.0,624.95,598.85,-4.21,4032938.0
ULTRACEMCO,4544.4,4459.35,4510.0,4478.95,-0.57,652200.0
ITC,171.6,168.25,171.5,168.65,-1.23,13738711.0
NTPC,88.0,84.3,87.1,86.1,-0.17,30168759.0
ONGC,69.5,67.65,69.5,68.25,-1.09,12611146.0
TCS,2709.95,2670.5,2689.95,2689.0,0.08,2437499.0
JSWSTEEL,315.8,304.35,314.0,308.0,-4.12,13789026.0
MARUTI,7161.3,6935.05,7100.0,7038.0,-0.92,1443236.0
TATASTEEL,423.35,404.15,423.35,410.4,-3.08,14682788.0
TATAMOTORS,140.8,131.25,138.4,133.8,-2.34,79820661.0
HEROMOTOCO,3120.0,2875.0,3120.0,2903.75,-6.66,3741509.0
ACC,1614.8,1576.0,1604.9,1579.95,-1.53,1055275.0
ABBOTINDIA,15750.0,15490.0,15650.0,15554.25,-0.45,4686.0
ADANIGREEN,722.8,701.1,720.0,705.2,-2.10,234989.0
ADANITRANS,293.35,285.35,293.35,287.9,-1.86,98462.0
ALKEM,2628.95,2563.65,2619.0,2596.45,-0.18,91432.0
AMBUJACEM,249.0,242.45,248.7,245.1,-0.93,7417124.0
AUROPHARMA,814.5,772.45,808.0,784.3,0.19,6231287.0
DMART,2145.85,2100.35,2120.0,2138.8,1.05,519449.0
BAJAJHLDNG,2305.45,2252.15,2270.0,2297.0,1.56,30525.0
BANDHANBNK,309.65,297.25,309.0,299.6,-2.65,5715843.0
BANKBARODA,43.75,42.55,43.05,42.9,-0.58,30837612.0
BERGEPAINT,610.0,595.15,609.0,597.0,-2.04,505512.0
INFRATEL,193.55,185.6,193.55,187.9,-2.21,3662914.0
BIOCON,419.75,389.75,419.0,402.65,-3.49,8726386.0
BOSCHLTD,12279.85,11732.55,12244.0,11887.75,-2.66,42784.0
CADILAHC,430.0,414.5,425.5,420.35,-0.93,2357981.0
COLPAL,1476.0,1434.1,1462.0,1457.6,-0.48,718049.0
CONCOR,389.0,379.8,385.55,387.95,0.62,984426.0
DLF,172.9,164.55,172.9,166.9,-2.57,7956789.0
DABUR,521.8,509.7,519.95,513.0,-1.18,1842257.0
GICRE,122.8,119.6,122.8,119.75,-1.44,97888.0
GODREJCP,691.8,667.1,686.0,671.5,-1.43,1450897.0
HDFCAMC,2309.0,2275.1,2308.0,2301.0,-0.34,128841.0
HAVELLS,734.0,721.25,730.0,724.0,-0.37,1266594.0
HINDPETRO,183.75,173.5,182.0,174.3,-4.52,5872836.0
HINDZINC,242.5,234.25,242.0,236.4,-1.36,2003354.0
ICICIGI,1294.85,1236.0,1272.0,1255.0,-0.22,383510.0
ICICIPRULI,414.25,401.25,410.8,404.95,-0.92,1156723.0
IGL,398.9,390.5,391.0,394.2,0.47,2514247.0
NAUKRI,3645.15,3500.0,3645.15,3512.05,-3.65,540175.0
INDIGO,1387.0,1344.4,1370.0,1354.9,-1.28,463890.0
LTI,3102.0,2975.75,3085.0,2995.05,-2.16,169018.0
LUPIN,997.65,957.45,992.95,962.35,-2.94,2486282.0
MARICO,361.85,345.75,359.2,348.1,-2.93,3492182.0
MOTHERSUMI,111.35,105.4,110.55,107.45,-2.72,12967404.0
MUTHOOTFIN,1194.2,1153.15,1185.0,1186.95,0.21,1472679.0
NMDC,84.95,82.45,84.85,83.25,-1.89,3432345.0
OFSS,3369.0,3251.05,3367.0,3265.0,-1.38,31747.0
PETRONET,238.5,229.05,233.0,231.4,-0.81,4430035.0
PIDILITIND,1508.7,1464.15,1506.0,1473.9,-1.76,367346.0
PEL,1325.0,1281.3,1325.0,1295.85,-2.36,685014.0
PFC,90.65,87.2,89.5,88.0,-2.22,2873761.0
PGHH,10460.0,10209.9,10301.0,10404.05,0.91,3506.0
PNB,28.25,27.45,27.55,28.0,2.19,28561001.0
SBICARD,818.0,793.1,807.15,795.55,-1.45,1988700.0
SIEMENS,1287.9,1260.5,1282.95,1278.15,-0.07,371414.0
TATACONSUM,484.3,470.15,474.9,476.2,0.72,5423773.0
TORNTPHARM,2774.4,2643.6,2752.9,2657.85,-2.78,745093.0
UBL,965.85,940.0,964.95,948.0,-1.26,1307682.0
MCDOWELL-N,529.45,512.65,528.0,516.4,-1.95,724466.0
