symbol,HIGH,LOW,OPEN,LAST TRADED PRICE,%change,TOTAL TRADED VOLUME
HINDUNILVR,2168.45,2142.3,2150.0,2166.3,1.05,939113.0
HCLTECH,860.9,846.0,853.0,855.95,0.41,4319206.0
INFY,1129.6,1112.85,1122.25,1116.95,-0.49,3738162.0
BHARTIARTL,439.45,428.0,434.35,431.25,-0.73,8313186.0
SBILIFE,776.0,765.1,775.0,767.4,-0.43,862723.0
BAJAJ-AUTO,3113.75,2885.0,3097.95,2905.8,-5.72,1496161.0
SHREECEM,20809.75,20113.1,20665.7,20187.25,-1.63,37629.0
AXISBANK,509.85,492.7,508.25,493.8,-2.64,12329087.0
GAIL,87.8,85.0,87.65,85.6,-1.95,6577971.0
SUNPHARMA,487.4,474.35,487.4,476.65,-1.62,3832092.0
WIPRO,344.9,339.65,343.7,339.9,-0.73,5441990.0
RELIANCE,2101.95,2047.5,2101.95,2050.35,-2.97,9308879.0
DIVISLAB,3081.4,3021.5,3080.9,3034.3,-1.13,453683.0
BRITANNIA,3505.55,3466.0,3482.0,3489.35,0.56,623890.0
BAJAJFINSV,5872.65,5647.5,5872.65,5658.25,-2.97,556154.0
COALINDIA,117.9,114.3,117.9,115.0,-2.29,7571006.0
ASIANPAINT,2116.35,2070.65,2116.35,2078.75,-1.96,832186.0
HDFCBANK,1242.0,1212.4,1229.8,1215.75,-1.62,5753626.0
NESTLEIND,16375.0,16052.15,16200.0,16205.05,2.14,253628.0
CIPLA,763.75,747.0,761.2,749.0,-1.13,3376905.0
GRASIM,789.85,768.0,785.0,778.95,-0.80,985768.0
BAJFINANCE,3330.0,3236.65,3330.0,3258.4,-1.76,2349574.0
ICICIBANK,419.15,401.75,418.05,403.6,-3.20,14758846.0
BPCL,353.7,343.5,351.55,345.8,-1.64,3704018.0
DRREDDY,5062.0,4976.2,5008.0,4997.0,-0.42,969219.0
LT,959.25,943.0,949.85,951.65,1.1,4666328.0
INDUSINDBK,633.3,613.55,617.0,617.3,1.5,13761940.0
ADANIPORTS,373.9,363.85,366.0,369.25,1.34,5410570.0
HDFC,2083.95,2052.75,2058.0,2067.8,0.39,3286620.0
HINDALCO,182.9,169.6,182.3,172.75,-5.21,10466370.0
SBIN,204.0,195.6,202.7,196.5,-3.11,33449852.0
HDFCLIFE,579.5,563.5,566.75,576.35,2.1,5239418.0
POWERGRID,172.95,169.65,170.05,171.75,0.94,14375677.0
EICHERMOT,2214.65,2136.05,2188.0,2141.9,-1.83,898595.0
UPL,454.95,434.05,454.95,435.4,-3.45,4261456.0
TITAN,1250.0,1225.0,1250.0,1228.65,-1.05,791644.0
IOC,79.2,78.0,78.25,78.15,-0.13,9481112.0
KOTAKBANK,1399.0,1347.35,1399.0,1373.35,-0.70,2806174.0
TECHM,854.7,823.35,830.0,832.35,-1.87,7078882.0
M&M,625.85,604.65,624.95,610.75,-2.30,2579258.0
ULTRACEMCO,4544.4,4459.35,4510.0,4493.95,-0.24,554601.0
ITC,171.6,168.25,171.5,169.35,-0.82,10379984.0
NTPC,88.0,84.3,87.1,84.95,-1.51,22201710.0
ONGC,69.5,67.65,69.5,68.2,-1.16,9861790.0
TCS,2709.95,2672.05,2689.95,2700.0,0.49,1743684.0
JSWSTEEL,315.8,304.35,314.0,307.0,-4.44,11919111.0
MARUTI,7161.3,6935.05,7100.0,6991.65,-1.57,968924.0
TATASTEEL,423.35,404.15,423.35,406.95,-3.90,11183705.0
TATAMOTORS,140.8,131.25,138.4,132.6,-3.21,65210808.0
HEROMOTOCO,3120.0,2908.1,3120.0,2914.0,-6.33,2280398.0
ACC,1614.8,1580.0,1604.9,1583.7,-1.30,908399.0
ABBOTINDIA,15750.0,15490.0,15650.0,15603.5,-0.14,3360.0
ADANIGREEN,722.8,701.1,720.0,703.0,-2.40,199854.0
ADANITRANS,293.35,285.35,293.35,287.3,-2.06,68432.0
ALKEM,2628.95,2563.65,2619.0,2586.0,-0.58,63361.0
AMBUJACEM,249.0,242.45,248.7,244.85,-1.03,6121389.0
AUROPHARMA,814.5,779.05,808.0,779.55,-0.42,5259238.0
DMART,2139.4,2100.35,2120.0,2131.5,0.71,334176.0
BAJAJHLDNG,2305.45,2252.15,2270.0,2294.05,1.43,26960.0
BANDHANBNK,309.65,300.5,309.0,302.1,-1.84,3927472.0
BANKBARODA,43.75,42.55,43.05,42.65,-1.16,27219352.0
BERGEPAINT,610.0,597.3,609.0,599.75,-1.59,402964.0
INFRATEL,193.55,185.75,193.55,187.65,-2.34,2972384.0
BIOCON,419.75,390.0,419.0,392.5,-5.92,6291889.0
BOSCHLTD,12279.85,11732.55,12244.0,11846.8,-3.00,32366.0
CADILAHC,430.0,417.0,425.5,417.0,-1.72,1900745.0
COLPAL,1476.0,1439.4,1462.0,1448.8,-1.08,478538.0
CONCOR,387.0,379.8,385.55,383.6,-0.51,649709.0
DLF,172.9,164.55,172.9,165.45,-3.42,6480075.0
DABUR,521.8,511.55,519.95,512.5,-1.28,1412249.0
GICRE,122.8,120.1,122.8,120.6,-0.74,67219.0
GODREJCP,691.8,668.05,686.0,671.6,-1.42,1267435.0
HDFCAMC,2309.0,2275.1,2308.0,2295.15,-0.60,79651.0
HAVELLS,734.0,721.25,730.0,726.8,0.01,1052438.0
HINDPETRO,183.75,175.8,182.0,176.0,-3.59,3638358.0
HINDZINC,242.5,235.0,242.0,235.5,-1.73,1607620.0
ICICIGI,1294.85,1238.05,1272.0,1242.6,-1.21,319136.0
ICICIPRULI,414.25,402.25,410.8,403.5,-1.27,890687.0
IGL,398.9,390.5,391.0,397.65,1.35,2141196.0
NAUKRI,3645.15,3510.0,3645.15,3533.25,-3.07,440471.0
INDIGO,1387.0,1344.4,1370.0,1349.9,-1.64,403950.0
LTI,3102.0,3025.0,3085.0,3037.0,-0.79,120504.0
LUPIN,997.65,966.3,992.95,966.4,-2.53,1669348.0
MARICO,361.85,347.0,359.2,348.5,-2.82,2628552.0
MOTHERSUMI,111.35,105.4,110.55,106.6,-3.49,11272985.0
MUTHOOTFIN,1194.2,1153.15,1185.0,1166.55,-1.52,886283.0
NMDC,84.95,82.45,84.85,82.95,-2.24,3017989.0
OFSS,3369.0,3280.0,3367.0,3284.95,-0.78,24963.0
PETRONET,238.5,229.05,233.0,229.45,-1.65,3922622.0
PIDILITIND,1508.7,1472.0,1506.0,1479.75,-1.37,275451.0
PEL,1325.0,1284.0,1325.0,1285.65,-3.13,558795.0
PFC,90.65,87.9,89.5,88.2,-2.00,2473825.0
PGHH,10398.0,10209.9,10301.0,10350.0,0.39,2108.0
PNB,28.25,27.45,27.55,28.0,2.19,22537235.0
SBICARD,818.0,793.1,807.15,793.1,-1.75,1619882.0
SIEMENS,1284.55,1260.5,1282.95,1278.95,,283128.0
TATACONSUM,484.3,470.15,474.9,476.25,0.73,4662208.0
TORNTPHARM,2774.4,2650.0,2752.9,2651.5,-3.01,621351.0
UBL,965.85,940.0,964.95,948.0,-1.26,1068730.0
MCDOWELL-N,529.45,514.8,528.0,516.3,-1.97,572755.0
