symbol,HIGH,LOW,OPEN,LAST TRADED PRICE,%change,TOTAL TRADED VOLUME
HINDUNILVR,2168.45,2142.3,2150.0,2160.2,0.76,1122469.0
HCLTECH,860.9,846.0,853.0,853.6,0.13,4628618.0
INFY,1129.6,1112.85,1122.25,1113.65,-0.79,4071521.0
BHARTIARTL,439.45,428.0,434.35,432.7,-0.39,8770776.0
SBILIFE,776.0,765.1,775.0,768.65,-0.27,913176.0
BAJAJ-AUTO,3113.75,2885.0,3097.95,2914.0,-5.46,1585089.0
SHREECEM,20809.75,20113.1,20665.7,20233.6,-1.40,40287.0
AXISBANK,509.85,492.05,508.25,493.9,-2.62,13105675.0
GAIL,87.8,85.0,87.65,85.45,-2.12,6901533.0
SUNPHARMA,487.4,474.0,487.4,474.85,-1.99,4239334.0
WIPRO,344.9,339.25,343.7,339.3,-0.91,5845794.0
RELIANCE,2101.95,2041.0,2101.95,2043.45,-3.29,10187751.0
DIVISLAB,3081.4,3021.5,3080.9,3031.2,-1.23,492248.0
BRITANNIA,3505.55,3466.0,3482.0,3487.55,0.51,649048.0
BAJAJFINSV,5872.65,5646.75,5872.65,5667.0,-2.82,590682.0
COALINDIA,117.9,114.3,117.9,114.5,-2.72,7937043.0
ASIANPAINT,2116.35,2070.65,2116.35,2075.75,-2.10,889239.0
HDFCBANK,1242.0,1212.4,1229.8,1215.8,-1.62,6155981.0
NESTLEIND,16375.0,16052.15,16200.0,16205.0,2.14,263249.0
CIPLA,763.75,747.0,761.2,749.8,-1.02,3486157.0
GRASIM,789.85,768.0,785.0,776.0,-1.17,1033586.0
BAJFINANCE,3330.0,3236.65,3330.0,3259.2,-1.74,2426693.0
ICICIBANK,419.15,401.75,418.05,403.9,-3.13,15451905.0
BPCL,353.7,343.5,351.55,344.7,-1.95,3868988.0
DRREDDY,5062.0,4976.2,5008.0,4995.85,-0.45,1005993.0
LT,959.25,943.0,949.85,951.5,1.09,5124663.0
INDUSINDBK,633.3,613.55,617.0,617.45,1.53,14248620.0
ADANIPORTS,373.9,363.85,366.0,365.95,0.44,5791554.0
HDFC,2083.95,2052.75,2058.0,2064.0,0.21,3524059.0
HINDALCO,182.9,169.6,182.3,171.2,-6.06,11442370.0
SBIN,204.0,195.6,202.7,196.8,-2.96,35531850.0
HDFCLIFE,579.5,563.5,566.75,576.2,2.07,5476886.0
POWERGRID,172.95,169.65,170.05,171.7,0.91,14927383.0
EICHERMOT,2214.65,2135.0,2188.0,2140.3,-1.91,940108.0
UPL,454.95,433.7,454.95,433.9,-3.78,4419183.0
TITAN,1250.0,1223.0,1250.0,1223.0,-1.51,865331.0
IOC,79.2,78.0,78.25,78.0,-0.32,9804019.0
KOTAKBANK,1399.0,1347.35,1399.0,1372.35,-0.77,3434126.0
TECHM,854.7,823.35,830.0,830.0,-2.15,7300970.0
M&M,625.85,604.65,624.95,606.65,-2.96,2741101.0
ULTRACEMCO,4544.4,4459.35,4510.0,4482.85,-0.48,577955.0
ITC,171.6,168.25,171.5,169.0,-1.02,11360184.0
NTPC,88.0,84.3,87.1,84.55,-1.97,23464784.0
ONGC,69.5,67.65,69.5,68.05,-1.38,10558927.0
TCS,2709.95,2672.05,2689.95,2697.0,0.38,1853954.0
JSWSTEEL,315.8,304.35,314.0,306.3,-4.65,12215798.0
MARUTI,7161.3,6935.05,7100.0,7000.05,-1.45,1023767.0
TATASTEEL,423.35,404.15,423.35,406.75,-3.94,11698084.0
TATAMOTORS,140.8,131.25,138.4,132.75,-3.10,67264831.0
HEROMOTOCO,3120.0,2896.35,3120.0,2900.9,-6.75,2617676.0
ACC,1614.8,1577.5,1604.9,1580.0,-1.53,965438.0
ABBOTINDIA,15750.0,15490.0,15650.0,15631.45,0.04,3685.0
ADANIGREEN,722.8,701.1,720.0,703.4,-2.35,206203.0
ADANITRANS,293.35,285.35,293.35,287.05,-2.15,78560.0
ALKEM,2628.95,2563.65,2619.0,2583.25,-0.69,64176.0
AMBUJACEM,249.0,242.45,248.7,244.3,-1.25,6476469.0
AUROPHARMA,814.5,779.05,808.0,782.0,-0.10,5436344.0
DMART,2139.4,2100.35,2120.0,2136.0,0.92,354434.0
BAJAJHLDNG,2305.45,2252.15,2270.0,2293.0,1.39,27323.0
