,symbol,HIGH,LOW,OPEN,LAST TRADED PRICE,%change,TOTAL TRADED VOLUME,avg,price_volume,pv_cum_sum,cum_v,vwap,Action
35,TITAN,1250.0,1212.1,1250.0,1213.65,-2.26,1059784.0,1225.25,1298500346.0,9351937129.05,7609284.0,1229.0167023664774,Long
36,IOC,79.2,78.0,78.25,78.15,-0.13,10790941.0,78.45,846549321.45,6414181449.266665,81768066.0,78.44359984332594,Long
37,KOTAKBANK,1399.0,1347.35,1399.0,1392.6,0.69,4124754.0,1379.6499999999999,5690716856.099999,41292467440.2,30002660.0,1376.2935499785685,Short
38,TECHM,854.7,816.95,830.0,818.0,-3.57,8157768.0,829.8833333333333,6769995700.4,51263429695.13333,61498722.0,833.5690243308362,Long
39,M&M,625.85,601.5,624.95,606.3,-3.02,3209231.0,611.2166666666666,1961535474.383333,14665046698.166666,23992510.0,611.234368482775,Long
40,ULTRACEMCO,4544.4,4459.35,4510.0,4470.7,-0.75,616087.0,4491.483333333334,2767144492.3833337,21308062147.233337,4740881.0,4494.53638410948,Long
41,ITC,171.6,168.25,171.5,168.55,-1.29,12367916.0,169.46666666666667,2095949498.1333334,15885724331.050001,93661590.0,169.6076730178294,Long
42,NTPC,88.0,84.3,87.1,85.35,-1.04,26195867.0,85.88333333333333,2249788377.5166664,16958679145.499998,197608213.0,85.81970803764112,Long
43,ONGC,69.5,67.65,69.5,68.15,-1.23,11357212.0,68.43333333333334,777211874.5333334,5954579351.466667,87020589.0,68.42724715948161,Long
44,TCS,2709.95,2672.05,2689.95,2675.65,-0.41,2183777.0,2685.883333333333,5865370248.016666,42868592983.21666,15931941.0,2690.732597065019,Long
45,JSWSTEEL,315.8,304.35,314.0,307.0,-4.44,12727197.0,309.05,3933340232.8500004,30837593124.01667,99820645.0,308.9300126643809,Long
46,MARUTI,7161.3,6935.05,7100.0,7030.4,-1.03,1112221.0,7042.25,7832538337.25,60937283150.28333,8663787.0,7033.562015119177,Long
47,TATASTEEL,423.35,404.15,423.35,408.2,-3.6,12878131.0,411.90000000000003,5304502158.900001,40354580097.450005,98017775.0,411.7067552028191,Long
48,TATAMOTORS,140.8,131.25,138.4,132.9,-2.99,71556148.0,134.98333333333335,9658887377.533335,75097507619.38335,556583096.0,134.92595833234458,Long
49,HEROMOTOCO,3120.0,2875.0,3120.0,2901.0,-6.75,3112312.0,2965.3333333333335,9229042517.333334,66829945704.549995,22515790.0,2968.136836617769,Long
50,ACC,1614.8,1576.0,1604.9,1578.5,-1.62,1011707.0,1589.7666666666667,1608378065.0333333,12427565054.5,7811295.0,1590.9737187623818,Long
51,ABBOTINDIA,15750.0,15490.0,15650.0,15649.6,0.16,4046.0,15629.866666666667,63238440.53333333,479629547.76666665,30703.0,15621.585765777501,Short
52,ADANIGREEN,722.8,701.1,720.0,703.15,-2.38,219650.0,709.0166666666668,155735510.83333334,1205667348.9333334,1699945.0,709.2390335765765,Long
53,ADANITRANS,293.35,285.35,293.35,287.55,-1.98,94700.0,288.75,27344625.0,192770493.05,667759.0,288.68273291711535,Long
54,ALKEM,2628.95,2563.65,2619.0,2584.0,-0.66,64822.0,2592.2000000000003,168031588.4,1399621027.15,539763.0,2593.028842566089,Long
55,AMBUJACEM,249.0,242.45,248.7,244.25,-1.27,6895077.0,245.23333333333335,1690902716.3000002,12968951104.366665,52859608.0,245.3470919490486,Long
56,AUROPHARMA,814.5,772.45,808.0,775.7,-0.91,5823051.0,787.5500000000001,4585943815.05,35422968275.816666,44840098.0,789.9841850438567,Long
57,DMART,2145.85,2100.35,2120.0,2135.0,0.87,453378.0,2127.0666666666666,964365231.1999999,6836541742.166667,3215191.0,2126.3252298748866,Short
58,BAJAJHLDNG,2305.45,2252.15,2270.0,2294.0,1.43,28646.0,2283.866666666667,65423644.53333334,512763601.66666675,224512.0,2283.9028723037823,Short
59,BANDHANBNK,309.65,300.5,309.0,301.1,-2.16,4555815.0,303.75,1383828806.25,10798850752.233334,35556060.0,303.7133684731473,Long
60,BANKBARODA,43.75,42.55,43.05,42.85,-0.7,29447819.0,43.050000000000004,1267728607.95,9864076546.666668,229279710.0,43.02202121010476,Long
61,BERGEPAINT,610.0,595.3,609.0,597.6,-1.94,467215.0,600.9666666666667,280780641.1666667,2131551588.8999999,3544480.0,601.3721586523269,Long
62,INFRATEL,193.55,185.6,193.55,186.95,-2.71,3425549.0,188.69999999999996,646401096.2999998,4924870673.450001,26089747.0,188.7665171091924,Long
63,BIOCON,419.75,389.75,419.0,397.35,-4.76,7577652.0,402.2833333333333,3048363105.3999996,22978681449.066666,57222481.0,401.5673743518158,Long
64,BOSCHLTD,12279.85,11732.55,12244.0,11885.8,-2.68,39673.0,11966.066666666666,474729762.8666666,3505660160.4666667,293132.0,11959.3226275762,Long
