symbol,HIGH,LOW,OPEN,LAST TRADED PRICE,%change,TOTAL TRADED VOLUME
KOTAKBANK,1399.0,1347.35,1399.0,1372.45,-0.77,2954282.0
TECHM,854.7,823.35,830.0,832.45,-1.86,7116607.0
M&M,625.85,604.65,624.95,609.0,-2.58,2651106.0
ULTRACEMCO,4544.4,4459.35,4510.0,4485.6,-0.42,562907.0
ITC,171.6,168.25,171.5,169.4,-0.79,10677091.0
NTPC,88.0,84.3,87.1,85.0,-1.45,22682271.0
ONGC,69.5,67.65,69.5,68.15,-1.23,10077624.0
TCS,2709.95,2672.05,2689.95,2700.0,0.49,1764927.0
JSWSTEEL,315.8,304.35,314.0,306.0,-4.75,12010819.0
MARUTI,7161.3,6935.05,7100.0,6983.5,-1.69,989072.0
TATASTEEL,423.35,404.15,423.35,406.45,-4.01,11315817.0
TATAMOTORS,140.8,131.25,138.4,132.4,-3.36,65825588.0
HEROMOTOCO,3120.0,2896.35,3120.0,2900.9,-6.75,2498159.0
ACC,1614.8,1579.05,1604.9,1583.9,-1.29,937766.0
ABBOTINDIA,15750.0,15490.0,15650.0,15639.95,0.1,3469.0
ADANIGREEN,722.8,701.1,720.0,704.2,-2.24,202004.0
ADANITRANS,293.35,285.35,293.35,287.1,-2.13,73041.0
ALKEM,2628.95,2563.65,2619.0,2583.2,-0.69,63468.0
AMBUJACEM,249.0,242.45,248.7,245.0,-0.97,6149542.0
AUROPHARMA,814.5,779.05,808.0,780.75,-0.26,5317230.0
DMART,2139.4,2100.35,2120.0,2130.0,0.64,337944.0
BAJAJHLDNG,2305.45,2252.15,2270.0,2294.7,1.46,27063.0
BANDHANBNK,309.65,300.5,309.0,303.0,-1.54,4071429.0
BANKBARODA,43.75,42.55,43.05,42.6,-1.27,27524882.0
BERGEPAINT,610.0,597.3,609.0,598.95,-1.72,405175.0
INFRATEL,193.55,185.75,193.55,188.0,-2.16,3014731.0
BIOCON,419.75,389.75,419.0,390.5,-6.40,6571698.0
BOSCHLTD,12279.85,11732.55,12244.0,11864.05,-2.85,32914.0
CADILAHC,430.0,416.05,425.5,417.0,-1.72,1933262.0
COLPAL,1476.0,1439.4,1462.0,1448.25,-1.12,501274.0
CONCOR,387.0,379.8,385.55,383.25,-0.60,656722.0
DLF,172.9,164.55,172.9,165.2,-3.56,6562745.0
DABUR,521.8,511.55,519.95,512.65,-1.25,1426547.0
GICRE,122.8,120.1,122.8,120.65,-0.70,68873.0
GODREJCP,691.8,668.05,686.0,672.25,-1.32,1270036.0
HDFCAMC,2309.0,2275.1,2308.0,2297.35,-0.50,80669.0
HAVELLS,734.0,721.25,730.0,728.5,0.25,1063476.0
HINDPETRO,183.75,175.75,182.0,176.0,-3.59,3747324.0
HINDZINC,242.5,235.0,242.0,235.25,-1.84,1619527.0
ICICIGI,1294.85,1238.05,1272.0,1244.45,-1.06,322063.0
ICICIPRULI,414.25,401.4,410.8,401.75,-1.70,909524.0
IGL,398.9,390.5,391.0,397.4,1.29,2161465.0
NAUKRI,3645.15,3510.0,3645.15,3529.15,-3.18,442485.0
INDIGO,1387.0,1344.4,1370.0,1349.2,-1.69,407510.0
LTI,3102.0,3025.0,3085.0,3035.35,-0.84,122924.0
LUPIN,997.65,966.3,992.95,968.3,-2.33,1724642.0
MARICO,361.85,347.0,359.2,348.35,-2.86,2690818.0
MOTHERSUMI,111.35,105.4,110.55,106.45,-3.62,11420683.0
MUTHOOTFIN,1194.2,1153.15,1185.0,1171.2,-1.12,905317.0
NMDC,84.95,82.45,84.85,82.9,-2.30,3050674.0
OFSS,3369.0,3280.0,3367.0,3282.7,-0.85,24984.0
PETRONET,238.5,229.05,233.0,229.9,-1.46,3940093.0
PIDILITIND,1508.7,1472.0,1506.0,1478.0,-1.49,277196.0
PEL,1325.0,1284.0,1325.0,1289.0,-2.87,565396.0
PFC,90.65,87.9,89.5,88.15,-2.06,2488627.0
PGHH,10398.0,10209.9,10301.0,10341.35,0.31,2125.0
PNB,28.25,27.45,27.55,28.05,2.37,22804229.0
SBICARD,818.0,793.1,807.15,795.05,-1.51,1645944.0
SIEMENS,1284.55,1260.5,1282.95,1279.3,0.02,286811.0
TATACONSUM,484.3,470.15,474.9,474.9,0.44,4678035.0
TORNTPHARM,2774.4,2643.6,2752.9,2658.75,-2.74,643251.0
UBL,965.85,940.0,964.95,949.8,-1.07,1088045.0
MCDOWELL-N,529.45,514.8,528.0,515.55,-2.11,577142.0
