symbol,HIGH,LOW,OPEN,LAST TRADED PRICE,%change,TOTAL TRADED VOLUME
HINDUNILVR,2168.45,2142.3,2150.0,2161.9,0.84,1066894.0
HCLTECH,860.9,846.0,853.0,856.35,0.46,4437595.0
INFY,1129.6,1112.85,1122.25,1117.4,-0.45,3844348.0
BHARTIARTL,439.45,428.0,434.35,431.5,-0.67,8424542.0
SBILIFE,776.0,765.1,775.0,768.65,-0.27,885899.0
BAJAJ-AUTO,3113.75,2885.0,3097.95,2909.7,-5.60,1522317.0
SHREECEM,20809.75,20113.1,20665.7,20199.7,-1.57,38188.0
AXISBANK,509.85,492.05,508.25,492.85,-2.83,12647523.0
GAIL,87.8,85.0,87.65,85.7,-1.83,6650233.0
SUNPHARMA,487.4,474.0,487.4,474.7,-2.02,4037648.0
WIPRO,344.9,339.65,343.7,339.95,-0.72,5546142.0
RELIANCE,2101.95,2041.0,2101.95,2045.7,-3.19,9734317.0
DIVISLAB,3081.4,3021.5,3080.9,3032.2,-1.19,460840.0
BRITANNIA,3505.55,3466.0,3482.0,3489.1,0.56,635300.0
BAJAJFINSV,5872.65,5647.5,5872.65,5660.0,-2.94,567016.0
COALINDIA,117.9,114.3,117.9,114.8,-2.46,7651544.0
ASIANPAINT,2116.35,2070.65,2116.35,2078.4,-1.97,843280.0
HDFCBANK,1242.0,1212.4,1229.8,1215.95,-1.61,5832113.0
NESTLEIND,16375.0,16052.15,16200.0,16195.0,2.08,255844.0
CIPLA,763.75,747.0,761.2,748.0,-1.26,3419999.0
GRASIM,789.85,768.0,785.0,776.0,-1.17,1002343.0
BAJFINANCE,3330.0,3236.65,3330.0,3259.5,-1.73,2371692.0
ICICIBANK,419.15,401.75,418.05,403.85,-3.14,14909447.0
BPCL,353.7,343.5,351.55,346.4,-1.46,3731160.0
DRREDDY,5062.0,4976.2,5008.0,4990.5,-0.55,990520.0
LT,959.25,943.0,949.85,953.45,1.3,4773577.0
INDUSINDBK,633.3,613.55,617.0,615.8,1.26,13870126.0
ADANIPORTS,373.9,363.85,366.0,368.25,1.07,5491676.0
HDFC,2083.95,2052.75,2058.0,2062.5,0.14,3374924.0
HINDALCO,182.9,169.6,182.3,171.7,-5.79,10852441.0
SBIN,204.0,195.6,202.7,196.65,-3.03,33975655.0
HDFCLIFE,579.5,563.5,566.75,577.15,2.24,5306786.0
POWERGRID,172.95,169.65,170.05,171.75,0.94,14551350.0
EICHERMOT,2214.65,2135.0,2188.0,2139.75,-1.93,919249.0
UPL,454.95,434.05,454.95,434.75,-3.59,4304346.0
TITAN,1250.0,1224.6,1250.0,1227.3,-1.16,821049.0
IOC,79.2,78.0,78.25,78.2,-0.06,9551121.0
