symbol,HIGH,LOW,OPEN,LAST TRADED PRICE,%change,TOTAL TRADED VOLUME
HINDUNILVR,2168.45,2142.3,2150.0,2150.1,0.29,1255814.0
HCLTECH,860.9,844.5,853.0,845.8,-0.78,5161578.0
INFY,1129.6,1106.3,1122.25,1107.0,-1.38,4570486.0
BHARTIARTL,439.45,428.0,434.35,430.8,-0.83,9266350.0
SBILIFE,776.0,765.1,775.0,766.75,-0.51,971492.0
BAJAJ-AUTO,3113.75,2885.0,3097.95,2895.0,-6.08,1740598.0
SHREECEM,20809.75,20113.1,20665.7,20173.85,-1.69,43195.0
AXISBANK,509.85,490.9,508.25,492.75,-2.85,13927564.0
GAIL,87.8,85.0,87.65,85.15,-2.46,7420358.0
SUNPHARMA,487.4,471.5,487.4,471.5,-2.68,4711615.0
WIPRO,344.9,336.7,343.7,337.95,-1.30,6547287.0
RELIANCE,2101.95,2018.5,2101.95,2028.45,-4.00,12327758.0
DIVISLAB,3081.4,3020.1,3080.9,3024.9,-1.43,532364.0
BRITANNIA,3505.55,3466.0,3482.0,3483.7,0.4,684709.0
BAJAJFINSV,5872.65,5645.0,5872.65,5661.9,-2.91,614760.0
COALINDIA,117.9,114.2,117.9,114.5,-2.72,8407729.0
ASIANPAINT,2116.35,2070.05,2116.35,2073.4,-2.21,957170.0
HDFCBANK,1242.0,1208.5,1229.8,1213.45,-1.81,6727069.0
NESTLEIND,16375.0,16052.15,16200.0,16202.85,2.13,278067.0
CIPLA,763.75,743.25,761.2,744.3,-1.75,3765312.0
GRASIM,789.85,768.0,785.0,773.15,-1.53,1075398.0
BAJFINANCE,3330.0,3236.65,3330.0,3257.0,-1.81,2563825.0
ICICIBANK,419.15,401.45,418.05,403.0,-3.35,16641019.0
BPCL,353.7,342.55,351.55,344.35,-2.05,4157236.0
DRREDDY,5062.0,4965.5,5008.0,4973.25,-0.90,1086406.0
LT,959.25,943.0,949.85,954.3,1.39,5496163.0
INDUSINDBK,633.3,613.55,617.0,616.3,1.34,14791028.0
ADANIPORTS,373.9,362.3,366.0,363.9,-0.12,6354513.0
HDFC,2083.95,2052.75,2058.0,2068.8,0.44,3755828.0
HINDALCO,182.9,169.6,182.3,172.15,-5.54,12160763.0
SBIN,204.0,195.6,202.7,197.0,-2.86,37302826.0
HDFCLIFE,579.5,563.5,566.75,577.5,2.3,5830673.0
POWERGRID,172.95,169.65,170.05,172.05,1.12,15900327.0
EICHERMOT,2214.65,2112.0,2188.0,2123.25,-2.69,1073160.0
UPL,454.95,431.5,454.95,432.6,-4.07,4799712.0
TITAN,1250.0,1212.1,1250.0,1215.75,-2.09,1034149.0
IOC,79.2,78.0,78.25,78.1,-0.19,10671400.0
KOTAKBANK,1399.0,1347.35,1399.0,1377.2,-0.42,3826707.0
TECHM,854.7,819.0,830.0,821.8,-3.12,7957625.0
M&M,625.85,601.5,624.95,602.8,-3.58,3105755.0
ULTRACEMCO,4544.4,4459.35,4510.0,4473.55,-0.69,607608.0
ITC,171.6,168.25,171.5,168.75,-1.17,12196913.0
NTPC,88.0,84.3,87.1,85.35,-1.04,25568372.0
ONGC,69.5,67.65,69.5,68.05,-1.38,11183680.0
TCS,2709.95,2672.05,2689.95,2680.05,-0.25,2109716.0
JSWSTEEL,315.8,304.35,314.0,306.8,-4.50,12576607.0
MARUTI,7161.3,6935.05,7100.0,6989.1,-1.61,1069182.0
TATASTEEL,423.35,404.15,423.35,408.0,-3.65,12516091.0
TATAMOTORS,140.8,131.25,138.4,132.5,-3.28,70568213.0
HEROMOTOCO,3120.0,2875.0,3120.0,2885.0,-7.27,2917943.0
